avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,5,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,5,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,5,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,5,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,5,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,5,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,6,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,6,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,6,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,6,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,6,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,6,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,6,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,6,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,6,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,7,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,7,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,7,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,7,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,7,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,7,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,7,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,7,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,7,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,8,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,8,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,8,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,8,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,8,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,8,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,8,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,8,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,8,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,9,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,9,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,9,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,9,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,9,5,485,5.0,4.0,0.2763
