hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
7.0,0.9,2026-01,-6618.06,-13.236,4,40,96,0.4896
7.0,0.9,2026-02,-3374.87,-6.75,4,40,95,0.5053
7.0,0.9,2026-03,-3376.19,-6.752,4,40,76,0.3816
7.0,0.95,2025-09,7457.19,14.914,4,40,65,0.5385
7.0,0.95,2025-10,-24265.94,-48.532,4,40,84,0.4524
7.0,0.95,2025-11,87.06,0.174,4,40,71,0.4789
7.0,0.95,2025-12,643.13,1.286,4,40,70,0.5286
7.0,0.95,2026-01,-9648.63,-19.297,4,40,71,0.4789
7.0,0.95,2026-02,-13201.56,-26.403,4,40,74,0.473
7.0,0.95,2026-03,-5810.0,-11.62,4,40,72,0.4306
7.0,0.95,2026-04,-1124.81,-2.25,4,40,75,0.5067
7.0,0.95,2026-05,1578.5,3.157,4,40,52,0.5769
7.0,1.0,2025-09,2516.5,5.033,4,40,49,0.5306
7.0,1.0,2025-10,-30653.0,-61.306,4,40,62,0.4032
7.0,1.0,2025-11,-4001.37,-8.003,4,40,50,0.44
7.0,1.0,2025-12,2901.06,5.802,4,40,49,0.5714
7.0,1.0,2026-01,6750.19,13.5,4,40,44,0.5455
7.0,1.0,2026-02,-11697.88,-23.396,4,40,57,0.4912
7.0,1.0,2026-03,-10657.94,-21.316,4,40,50,0.38
7.0,1.0,2026-04,-564.38,-1.129,4,40,60,0.5167
7.0,1.0,2026-05,1380.31,2.761,4,40,36,0.5556
7.0,0.8,2025-09,-29027.69,-58.055,5,40,134,0.5299
7.0,0.8,2025-10,-17177.13,-34.354,5,40,191,0.4712
7.0,0.8,2025-11,-756.88,-1.514,5,40,187,0.4866
7.0,0.8,2025-12,-943.69,-1.887,5,40,8,0.125
7.0,0.85,2025-09,-13400.19,-26.8,5,40,105,0.5333
7.0,0.85,2025-10,-23803.5,-47.607,5,40,142,0.4859
7.0,0.85,2025-11,-5535.25,-11.071,5,40,112,0.4732
7.0,0.85,2025-12,-3749.81,-7.5,5,40,128,0.4844
7.0,0.85,2026-01,-1505.0,-3.01,5,40,92,0.4891
7.0,0.9,2025-09,-10469.81,-20.94,5,40,81,0.5185
7.0,0.9,2025-10,-26737.81,-53.476,5,40,113,0.4513
7.0,0.9,2025-11,-1281.44,-2.563,5,40,89,0.5169
7.0,0.9,2025-12,-1944.69,-3.889,5,40,91,0.5165
7.0,0.9,2026-01,-4632.69,-9.265,5,40,96,0.4896
7.0,0.9,2026-02,-2855.56,-5.711,5,40,57,0.4561
7.0,0.95,2025-09,6980.31,13.961,5,40,65,0.5385
7.0,0.95,2025-10,-29209.69,-58.419,5,40,84,0.4524
7.0,0.95,2025-11,-26.25,-0.053,5,40,71,0.4789
7.0,0.95,2025-12,-1589.87,-3.18,5,40,70,0.5286
7.0,0.95,2026-01,-10076.5,-20.153,5,40,71,0.4789
7.0,0.95,2026-02,-9905.44,-19.811,5,40,74,0.473
7.0,0.95,2026-03,-4281.37,-8.563,5,40,49,0.3469
7.0,1.0,2025-09,766.06,1.532,5,40,49,0.5306
7.0,1.0,2025-10,-35071.75,-70.143,5,40,62,0.4032
7.0,1.0,2025-11,-3950.62,-7.901,5,40,50,0.44
7.0,1.0,2025-12,1754.38,3.509,5,40,49,0.5714
7.0,1.0,2026-01,3703.44,7.407,5,40,44,0.5455
7.0,1.0,2026-02,-8221.94,-16.444,5,40,57,0.4912
7.0,1.0,2026-03,-6924.31,-13.849,5,40,37,0.2703
7.0,0.8,2025-09,-34824.13,-69.648,6,40,134,0.5299
7.0,0.8,2025-10,-13258.88,-26.518,6,40,191,0.4712
7.0,0.8,2025-11,-197.31,-0.395,6,40,10,0.4
7.0,0.85,2025-09,-17587.5,-35.175,6,40,105,0.5333
7.0,0.85,2025-10,-23732.19,-47.464,6,40,142,0.4859
7.0,0.85,2025-11,-4054.31,-8.109,6,40,112,0.4732
7.0,0.85,2025-12,-2421.12,-4.842,6,40,128,0.4844
7.0,0.85,2026-01,-547.75,-1.095,6,40,82,0.5
7.0,0.9,2025-09,-14760.37,-29.521,6,40,81,0.5185
7.0,0.9,2025-10,-26583.37,-53.167,6,40,113,0.4513
7.0,0.9,2025-11,-906.06,-1.812,6,40,89,0.5169
7.0,0.9,2025-12,-1806.0,-3.612,6,40,91,0.5165
7.0,0.9,2026-01,-3233.12,-6.466,6,40,96,0.4896
7.0,0.9,2026-02,-1116.94,-2.234,6,40,42,0.5238
7.0,0.95,2025-09,6187.13,12.374,6,40,65,0.5385
7.0,0.95,2025-10,-34202.87,-68.406,6,40,84,0.4524
7.0,0.95,2025-11,-2034.81,-4.07,6,40,71,0.4789
7.0,0.95,2025-12,-2362.5,-4.725,6,40,70,0.5286
7.0,0.95,2026-01,-8281.0,-16.562,6,40,71,0.4789
7.0,0.95,2026-02,-6278.12,-12.556,6,40,74,0.473
7.0,0.95,2026-03,-2091.69,-4.183,6,40,47,0.3617
7.0,1.0,2025-09,-664.12,-1.328,6,40,49,0.5306
7.0,1.0,2025-10,-37698.5,-75.397,6,40,62,0.4032
7.0,1.0,2025-11,-3943.62,-7.887,6,40,50,0.44
7.0,1.0,2025-12,931.88,1.864,6,40,49,0.5714
7.0,1.0,2026-01,3189.38,6.379,6,40,44,0.5455
